case_number,source,prompt,evaluation_seed,coco_id
828,coco-30k,A middle aged man standing next to a parked motorcycle,25385,471858
829,coco-30k,A kitchen counter with dishes dryin g on the stove,25501,509807
830,coco-30k,A young woman on a beach flying a kite,70111,486400
831,coco-30k,an image of a group of policeman on motorcylces,92428,331686
832,coco-30k,"A bathroom with a sink, toilet, and vanity.",26580,570138
833,coco-30k,This kitchen has a blue sink with many plants hanging around,50026,439837
834,coco-30k,"A very roomy, clean kitchen in green and white tile. ",59840,568717
835,coco-30k,A citizen stands pointing to a Police motorcycle as the cop looks on. ,43159,263700
836,coco-30k,A cat climbing into a bathroom sink looking at someone,30811,463825
837,coco-30k,The reflection of a man taking  a picture in a mirror,81104,202228
838,coco-30k,A television screen is displayed in an empty bus.,7560,194832
839,coco-30k,Blurred image of motorized scooters on a wooded road.,99603,541783
840,coco-30k,mANY CHEFS WORK ON COOKING FOOD IN THE KITCHEN.,36860,392320
841,coco-30k,A small bath room with a sink and toilet.,49301,89391
842,coco-30k,A Ford Mustang next to a brown horse.,76553,173530
843,coco-30k,A bathroom that has magazine rack and small cabinet.,48113,147518
844,coco-30k,The airplane flies low to the ground during sunset.,76120,22718
845,coco-30k,A house's address is visible through a cracked windshield.,60456,95736
846,coco-30k,A man is riding with a box on the back of his bike.,65751,117458
847,coco-30k,a stainless steel tabletop covered in dinnerware in a kitchen,98806,569652
848,coco-30k,A bathroom is photographed with a fisheye filter.,9116,347740
849,coco-30k,a bathroom with a bath tub a toilet and a sink,96946,284153
850,coco-30k,A bird sits on an outside windowsill overlooking a parking lot.,15712,566038
851,coco-30k,a small air plane on an air plane run way,48625,46011
852,coco-30k,"Passenger air planes parked at an airport, overcast weather.",20584,543203
853,coco-30k,Six white pedestals sinks sitting by the wall in a bathroom.,10399,295756
854,coco-30k,Extremely modern bathroom renovation with wood and porcelain,32460,26522
855,coco-30k,a table with pots and pitchers with knives in a cupboard,94884,427796
856,coco-30k,A dog approaches two sheep in front of onlookers.,8030,581654
857,coco-30k,All of the bunches of bananas are yellow and ripe.,8632,571518
858,coco-30k,"A woman with a giraffe , parrot and kangaroo near the eiffel tower",86494,254172
859,coco-30k,Cats in a bathroom playing with the toilet paper,44172,304447
860,coco-30k,A furry long haired dog standing near a car,92859,135116
861,coco-30k,A girl sitting on a kitchen counter drinking wine.,47754,332607
862,coco-30k,A man standing next to a bike inside of a building.,27579,146112
863,coco-30k,A woman is riding a bike with something in her hand. ,94955,535483
864,coco-30k,An airplane doing maneuvers with white smoke pouring out of it's back end.,50190,315191
865,coco-30k,A simple white residential kitchen with breakfast bar,79885,105177
866,coco-30k,A bathroom that has recently been tiled and grouted,18354,453093
867,coco-30k,A bicycle parked next to a snow covered park bench.,17309,72810
868,coco-30k,A man standing next to a dog near a sheep penn.,26499,337044
869,coco-30k,A silver park bench is in the park ,90489,391371
870,coco-30k,A group of giraffe standing next to each other by tall trees.,25723,541274
871,coco-30k,A bunch of bananas sitting on top of a wooden table.,41596,3661
872,coco-30k,A white toilet bowl with an electronic brown seat.,44872,7288
873,coco-30k,Two cooks standing at the counter on a kithchen next to bottles.,89009,410350
874,coco-30k,A man prepares food in a restaurant kitchen.,34824,449466
875,coco-30k,A woman in vintage clothing carrying an umbrella,4818,150144
876,coco-30k,A bathroom with a sink and toilet and a window.,45834,111076
877,coco-30k,Two dogs are looking up while they stand near the toilet in the bathroom.,9017,173350
878,coco-30k,A giraffe walking through dead bushes and grass.,78292,579593
879,coco-30k,A lone man sitting on a bench on hill next to a large tree,554,150538
880,coco-30k,A tan dog with sky blue eyes posing for a picture with a man sitting on a chair in the background.,71222,560373
881,coco-30k,A double decker bus driving while it snows.,17813,133503
882,coco-30k,A little girl holding a kitten next to a blue fence.,69922,562150
883,coco-30k,Two giraffes standing beside each other next to a fence.,57146,347925
884,coco-30k,A white dish with a tomato based casserole,30400,385181
885,coco-30k,A plate with two hot dogs and a cup of coke on a table next to a bike.,60795,200365
886,coco-30k,A public rest room with a black and white checkered floor.,88691,543660
887,coco-30k,Person on motorbike  with speed detector showing 26.,99208,378727
888,coco-30k,An ornate vase with a handle sitting on a table.,94681,541086
889,coco-30k,a bowl of fruit and pastry on a table,53318,558642
890,coco-30k,A woman walking while carrying bananas on her hat.,81172,147740
891,coco-30k,"Commode scene, probably commercial establishment, outside of USA.",49247,255654
892,coco-30k,A small kitchen cluttered with a variety of kitchen items.,3581,436130
893,coco-30k,a brick clock tower in the middle of a street,5279,561578
894,coco-30k,A motorcycle being held up slightly by its back tire.,84379,178084
895,coco-30k,A row of wall mounted sinks in a restroom.,61206,43997
896,coco-30k,A woman making sandwiches on a kitchen counter top.,29511,91263
897,coco-30k,A woman standing outside with her black luggage.,45383,312175
898,coco-30k,A tall building with a lot of windows and a clock. ,64722,553588
899,coco-30k,A large crowd of motorcycle enthusiasts at a motorcycle event.,67507,99425
900,coco-30k,A biker with a helmet on is standing behind two motorcycles.,63345,303321
901,coco-30k,A walkway suspended over a street with a clock mounted to it.,88794,497504
902,coco-30k,A bathroom with white tile and a beige toilet.   ,21354,84064
903,coco-30k,A crowd of people walking down a street next to a traffic light.,14742,31019
904,coco-30k,A green bathroom with a mirror and a pink sink.,36046,423769
905,coco-30k,Man in a restaurant kitchen preparing a meal.,5038,35525
906,coco-30k,A 787 Jet Airplane sitting on a runway at an airport.,76609,465664
907,coco-30k,A large truck drives up to an airplane.,75226,127668
908,coco-30k,A small bathroom with a white toilet sitting next to a sink.,51381,85632
909,coco-30k,A woman holding a big spoon while cooking spaghetti.,89410,167724
910,coco-30k,A person is holding a spatula near slices of bread on a stove.,1477,243204
911,coco-30k,A compact bathroom with vessel sink and toilet.,48092,375916
912,coco-30k,A plane is sitting on the tarmac as the sun rises or sets.,67888,177101
913,coco-30k,a white and blue jet is flying in some clouds,10547,93703
914,coco-30k,An airplane sitting in front of a group of people.,99128,512334
915,coco-30k,a computer on a desk surrounded by papers,23231,43092
916,coco-30k,A kitchen filled with pots and pans under a microwave.,45729,340511
917,coco-30k,"A pizza sitting on top of a table with olives, sausage and cheese.",46687,415874
918,coco-30k,"a kitchen has a chrome stove and oven with white cabinets.
",60505,556230
919,coco-30k,a shower door a sink a mirror and an outlet,37475,394517
920,coco-30k,A cluttered room filled with a tv and a kitchen. ,91948,368900
921,coco-30k,a person in an office setting sitting in a chair,65704,263687
922,coco-30k,a bathroom with a toilet and a sink,21040,426053
923,coco-30k,A small white church with a clock on the side of it's tower sitting on the end of a street ,77633,271970
924,coco-30k,a light brown bathroom with drawers sink and toilet,74648,5412
925,coco-30k,Two motorcyclists driving on a street with parked vehicles.,63683,471488
926,coco-30k,two people with a motorcycle and trailer parked by a waterfall.,92204,356145
927,coco-30k,"a bathroom with towels , lights, and a sink that is clean ",57312,234590
928,coco-30k,Young man holding a tennis racket while standing in front of a fence.,10863,94745
929,coco-30k,THERE IS A MOTORCYLCE WITH PEOPLE STANDING ON THE SIDE OF THE STREET ,17837,320249
930,coco-30k,A nice shower has a glass enclosure and sliding door,85648,401623
931,coco-30k,THERE ARE TWO PEOPLE THAT ARE STANDING TOGETHER ,38545,204507
932,coco-30k,"Two toilet stall, one blue and the other orange.",17646,241888
933,coco-30k,A plane on the runway is being led by a tow cart,571,413096
934,coco-30k,A herd of sheep is on the side of the road and a bus drives through.,17886,380756
935,coco-30k,A woman cooks dinner while three people stand at a counter in the kitchen.,1401,334291
936,coco-30k,There are pictures of flowers in the bathroom.,50485,14921
937,coco-30k,"A long, narrow yellow kitchen with black and white floor tiles.",59753,454203
938,coco-30k,four lambs grazing in a fenced in pasture,25735,51844
939,coco-30k,two motocross racers in the middle of a race,9208,214192
940,coco-30k,A large plane flies in the sky while a reflection shines from the wings.,33369,53838
941,coco-30k,A calico cat drinking from a sink faucet.,74099,134096
942,coco-30k,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON",17318,441586
943,coco-30k,People riding bicycles down the road approaching a bird.,50751,515289
944,coco-30k,Two skiers trekking across the terrain in the snow,15408,488755
945,coco-30k,Motorcycle parked along the street next to a building.,42565,262394
946,coco-30k,"BLACK, BLUE, WHITE, RED, ORANGE RED AND YELLOW AIRPLANE",21818,570349
947,coco-30k,A commercial stainless kitchen with a pot of food cooking. ,92142,309022
948,coco-30k, A tall woman is standing in a small kitchen,61,345389
949,coco-30k,The large mirror has bright lighting behind it.,79700,352000
950,coco-30k,Two sheep are standing side by side behind a fence.,14085,299042
951,coco-30k,Urinals lined up along one wall with a handicap accessible one at the end.,14043,280320
952,coco-30k,Long counter in center of room surrounded by grocery cases.,12474,565296
953,coco-30k,Lovingly restored antique double decker buses in London,34621,484723
954,coco-30k,Sheep are standing on a platform with a dog behind them.,73032,483994
955,coco-30k,A plane is flying away from the airport,97186,425221
956,coco-30k,There are two people riding on a motorcycle together,55489,363048
957,coco-30k,A person in a red sweatshirt on a motorcycle,57452,195267
958,coco-30k,A computer screen is lit up on a computer desk.,72763,86426
959,coco-30k,A public restroom with a  garbage can and shower hose,53681,2061
960,coco-30k,People watching a plane take off from a runway.,10092,183895
961,coco-30k,A gas station and a traffic light. ,19108,181524
962,coco-30k,Food and a spoon sit on a plate on a table.,37185,438999
963,coco-30k,A dog chasing several sheep through a pasture.,32940,402626
964,coco-30k,A makeshift tent is constructed at a camp site.,26765,65258
965,coco-30k,A shower curtain is pulled back in a bathroom. ,4627,165750
966,coco-30k,A kitchen with oak cabinetry  and white appliances,32877,507958
967,coco-30k,A bathroom with urinals that have graffiti above them,14769,57454
968,coco-30k,A welcome sign over a road with cars driving underneath,53813,556345
969,coco-30k,A large white bus drives through an intersection. ,85749,102668
970,coco-30k,A picture of a bathroom with a sink and tolet.,88368,24061
971,coco-30k,A cat crouched over sitting by a brick wall.,22868,163155
972,coco-30k,A man sitting on a couch with a dog on his lap,22141,504900
973,coco-30k,A motorcycle parked next to street with little to no traffic.,34297,315868
974,coco-30k,A cat sitting on the hood of a car.,91634,578632
975,coco-30k,A large empty bathroom with a walk in shower tub.,35764,557135
976,coco-30k,Some chairs sit at an island near an open door. ,57376,216497
977,coco-30k,A person sits at a table in a kitchen. ,47607,107922
978,coco-30k,A traffic signal sitting next to a street at night.,19927,339974
979,coco-30k,A giraffe walks through a line of cars in a parking lot.,13256,54305
980,coco-30k,A white toilet sitting next to a toilet paper roller in a bathroom.,56810,560367
981,coco-30k,An old wooden steeple with a clock on it,69569,563311
982,coco-30k,A restroom with two toilets sitting side by side.,73756,448765
983,coco-30k,A large Delta passenger jet being prepared for take off from an airport runway.,80147,525344
984,coco-30k,The interior of a bathroom with crumpled and torn toilet paper on the floor along with a toilet roll that has been pulled.,48065,79878
985,coco-30k,A white truck parked next to a white trailer.,68314,515266
986,coco-30k,Two cats eating food from bowls on a black and white checkered tile floor.,11995,41271
987,coco-30k,A walk in shower next to a toilet with a wooden seat.,4566,360564
988,coco-30k,A crowd of bikers driving down a street next to tall buildings.,45691,497969
989,coco-30k,A blurry photo of a kitchen and a dining room.,32805,151911
990,coco-30k,A young woman stands by the post with a pink umbrella.,27964,142261
991,coco-30k,A modern kitchen that is bright and painted blue and yellow.,18403,344488
992,coco-30k,A man standing next to a set of piked motorcycles.,33593,360573
993,coco-30k,A modern style wooden kitchen with multi layered counters.,73406,267135
994,coco-30k,An intracately designed boat on a river bank.,56456,348140
995,coco-30k,A herd of sheep walking on a cluster of dry grass.,56018,290521
996,coco-30k,"A modern kitchen with stainless steel fridge, wooden cabinets, and overhead lighting is separated from the dining room by a bar.",11245,550864
997,coco-30k,A kitchen with a washer sitting next to a metal sink.,21163,190734
998,coco-30k,A table full of vegetables and fruits  piled on top of each other.,16379,523373
999,coco-30k,A man sitting on a park bench next to a herd of sheep.,26395,489248
1000,coco-30k,A colorful fighter jet flying through a blue sky.,12887,90631
1001,coco-30k,A white toilet sitting in the corner of a bathroom.,45816,429074
1002,coco-30k,A city made out of stone brick with large arches.,5583,427338
1003,coco-30k,People standing and sitting around at a pier,56960,111099
1004,coco-30k,A bike parked next to a cat leaning up against a stone wall.,31442,283505
1005,coco-30k,A man wearing a helmet while holding a banana next to a woman wearing a helmet.,77504,58705
1006,coco-30k,Light poles in the snow with yellow traffic lights mounted on them.,42819,388026
1007,coco-30k,"A large elephants reflection in a cars side view mirror, with other elephants in the distance.",58379,111789
1008,coco-30k,A small town street filled with traffic beneath a mountain.,40961,436653
1009,coco-30k,An orange cat sitting in front of a door to a house.,78915,360943
1010,coco-30k,A kitchen counter top filled with appliances and a wooden shelf..,29873,533003
1011,coco-30k,A bathroom with a white toilet and a white toilet seat.,368,280619
1012,coco-30k,A city street filled with traffic at night.,29943,493695
1013,coco-30k,A bathroom sink with a marble counter top under a large mirror.,87070,302760
1014,coco-30k,a person with a shopping cart on a city street ,99911,252219
1015,coco-30k,a person riding a dirt bike in the air with a sky background,96333,522198
1016,coco-30k,A white compact car parked on a sandy dirt road.,62093,296243
1017,coco-30k,A face car driving past a parked motorcycle.,29822,64723
1018,coco-30k,A bicycle chained to a pole on a snowy day,79619,288923
1019,coco-30k,A black and white cat sits in a white sink.,92884,189939
1020,coco-30k,"An empty clean kitchen with island, marble countertops , stove and cabinetry.",22236,309925
1021,coco-30k,A man riding a motorcycle in pink furry boots.,33012,434467
1022,coco-30k,A young man riding a bike past a lake.,46489,320641
1023,coco-30k,A purple and white bus driving down a street.,22371,313182
1024,coco-30k,A blue car making a right turn at an intersection.,11406,67956
1025,coco-30k,A man riding a motorcycle down a busy city street.,79540,91636
1026,coco-30k,A large passenger jet sitting on top of an airport runway.,59522,98520
1027,coco-30k,A bathroom with a walk in shower next to a toilet and a sink.,48529,41839
1028,coco-30k,A white and green kitchen filled with dishes and appliances.,99307,106351
1029,coco-30k,The grinch riding a motorcycle with a small dog with antlers.,91713,378163
1030,coco-30k,A bathroom sink under a mirror next to a plant.,57698,354072
1031,coco-30k,Two giraffe standing next to each other at a zoo.,40772,502311
1032,coco-30k,A group of people walking towards a beach while carrying surfboards.,18589,5476
1033,coco-30k,A small bathroom with a small brown toilet next to a white sink.,56572,547003
1034,coco-30k,A kitchen filled with appliances and track lighting.,280,96107
1035,coco-30k,A herd of cattle sitting in front of a church with a steeple.,94310,206135
1036,coco-30k,A white toilet sitting next to a white bath tub.,97838,357475
1037,coco-30k,A couple of dogs sitting in the front seats of a car.,44859,252203
1038,coco-30k,Two magazine photos of a motorcycle and rider.,84419,139169
1039,coco-30k,A desktop computer monitor on a white desk next to books.,21239,523526
1040,coco-30k,A blue motor scooter parked in front of a brick building.,69606,10954
1041,coco-30k,A man riding a green motorcycle on a winding road.,63205,573072
1042,coco-30k,A bicycle parked on top of a bed in a bedroom.,64180,108679
1043,coco-30k,People walking outside of a red brick building.,1722,11182
1044,coco-30k,A busted bathroom sink underneath a mirror in a bathroom.,47929,513064
1045,coco-30k,A doorway into a clean wood floored kitchen.,50208,308799
1046,coco-30k,A large white teddy bear sitting on top of an SUV.,74679,245013
1047,coco-30k,A man sanding next to a brick oven filled with fire.,44766,281111
1048,coco-30k,A bathroom with a white toilet sitting next to a bath tub and a sink.,44977,338098
1049,coco-30k,A dog watches an animal on the television.,44399,281533
1050,coco-30k,A couple of cats sleeping on a car hood.,48291,483249
1051,coco-30k,Three woman with their backs turned in a kitchen.,47546,410319
1052,coco-30k,Two people going through belongings from the truck of a car.,67753,282658
1053,coco-30k,A group of people are looking at a plane being removed from a field by a bulldozer.,60516,145019
1054,coco-30k,A red carpet in a bathroom with white fixtures,71425,485916
1055,coco-30k,A plane flying over the water at sunset,20811,266070
1056,coco-30k,A small plane landing in  a grassy field,34483,527506
1057,coco-30k,A blue bathroom has an updated sink and toilet.,57421,66879
1058,coco-30k,A bench sitting on a sidewalk near a line of cars.,58214,543112
1059,coco-30k,A bowl filled with fruit on a napkin.,36102,318405
1060,coco-30k,A plane sits outside a room full of chairs. ,19420,233079
1061,coco-30k,Clouds can be seen beyond the wing of the plane. ,24993,396204
1062,coco-30k,Black and white photograph of cars parked along a curb in the city,22538,285742
1063,coco-30k,A black motor cycle parked on a cobblestone street,36356,566249
1064,coco-30k,people on bicycles ride down a busy street ,58619,462565
1065,coco-30k,A woman walking across the street looking at a Car Quest vehicle.,3549,255795
1066,coco-30k,The large living room has been decorated in modern furnishings.,55785,205514
1067,coco-30k,A tiled bathroom with toilet and open shower,9282,537812
1068,coco-30k,The graveyard in front of the church is very spooky.,86685,521877
1069,coco-30k,"The giraffe is sticking out its long tongue, perhaps tasting the fence rail.",59505,555023
1070,coco-30k,A black cat sits in a bathroom sink.,56883,284623
1071,coco-30k,A dump truck passing a gentleman on a bicycle loaded with wood benches.,22584,528962
1072,coco-30k,A person gets ready to indulge in drinking a shake and eating a slice of cheesecake.,544,250790
1073,coco-30k,An older gentleman is taking a ride on his motorcycle. ,79748,261603
1074,coco-30k,A man standing in front of a mirror shaving,51595,45976
1075,coco-30k,The modern made toilet is next to a small bidet.,93490,111014
1076,coco-30k,A nice spacious bathroom with light brown tile.,63644,135613
1077,coco-30k,A bathroom with orange and white flooring with double sinks,38914,278338
1078,coco-30k,A bathroom with a bathtub sitting next to a toilet.,82937,319285
1079,coco-30k,A scooter is parked on the street in front of a car. ,31234,567171
1080,coco-30k,A striped cat sleeping on someones white purse,31189,148968
1081,coco-30k,The dark mirror shows a bathroom in it's reflection.,52256,415967
1082,coco-30k,Many oranges have been placed inside a bowl.,31736,31000
1083,coco-30k,A group of traffic lights sitting above an intersection.,72549,398385
1084,coco-30k,A series of images of pots filled with chocolate and desert.,87349,51476
1085,coco-30k,a person riding a motorcycle on a road with a hill in the background,57012,207853
1086,coco-30k,A microwave oven sitting on top of a counter top.,92376,478077
1087,coco-30k,Two bathroom sinks under two mirrors next to paper towel dispenser.,1318,302159
1088,coco-30k,A kitchen with a bright window and house plants,17274,136355
1089,coco-30k,A man watches a giraffe eating from a tree. ,78193,179930
1090,coco-30k,A person that is driving on the street.,90309,562592
1091,coco-30k,A close up of a person's hand with a scissors cutting something wet.,62209,204757
1092,coco-30k,A skier in the midst of a jump,35621,469719
1093,coco-30k,A very clean sink that is in the bathroom.,26142,275270
1094,coco-30k,A parked motorcycle on display next to the skull of a demon.,93916,338044
1095,coco-30k,A traffic light with a smile green light above a red sign.,72388,222494
1096,coco-30k,A picture of some people about to board a plane.,44871,368541
1097,coco-30k,Person on a motorcycle coming up to a stop sign on the street.,9782,237568
1098,coco-30k,A brick building with an open window next to a few colorful bushes.,99751,62443
1099,coco-30k,A man in  library looking at his laptop.,24438,519479
1100,coco-30k,An man taking a picture of a sink through a mirror.,84575,306404
1101,coco-30k,Two planes flying in the sky over a bridge.,31299,1761
1102,coco-30k,A cop car parked in front of a white fire hydrant.,77362,257448
1103,coco-30k,A small kitchen with low a ceiling ,64323,164
1104,coco-30k,A red motorcycle with a back seat parked on the side of a road.,66832,267861
1105,coco-30k,A bathroom that is very clean and white.,58904,469638
1106,coco-30k,Many motorcycles are parked around a crowd of people.,23975,246265
1107,coco-30k,A picture of a very nice kitchen that is white.,97229,10114
1108,coco-30k,A bunch of bananas hanging from a green tree.,22933,371683
1109,coco-30k,A large Delta passenger jet flying through a blue sky.,75161,392650
1110,coco-30k,Three kites in the air with many umbrellas on a beach,97523,579602
1111,coco-30k,His and her bathroom sinks underneath a large mirror.,795,23623
1112,coco-30k,A picture of some people that are cooking some food.,79659,180787
1113,coco-30k,A formation of birds in a sky at sunset.,61010,467475
1114,coco-30k,A pile of rusted metal junk laying in the weeds.,91303,95772
1115,coco-30k,A public restroom with several urinals and stalls.,12685,453020
1116,coco-30k,A blue turboprop airplane races across the blue sky.,53065,255482
1117,coco-30k,The picture of a cat under a car.,73379,188651
1118,coco-30k,A blue toilet bowl in a bathroom that says rabies,23334,370090
1119,coco-30k,A man standing in a kitchen ironing his clothes while cooking food.,74236,327514
1120,coco-30k,A plant is growing on the window sill in the bathroom.,20899,428234
1121,coco-30k,A picture of a motorcycle on the street.,61857,213932
1122,coco-30k,A large clock tower is yellow and white.,31818,267351
1123,coco-30k,Several beautiful vintage racing motorcycles on public display.,45867,462026
1124,coco-30k,A view of the mountains is shown from an airplane window.,82405,401783
1125,coco-30k,A turkey or chicken cooks inside a kitchen oven.,53988,168512
1126,coco-30k,A kitchen with a washer and a stove top oven.,45599,431236
1127,coco-30k,A car seat covered in a piece of cake and frosting.,42427,172911
1128,coco-30k,A bunt cake sitting on a glaze cake plate with glazed being drizzled over it.,51933,484432
1129,coco-30k,A kitchen with wooden counter tops and a stove top oven.,5330,414156
1130,coco-30k,A narrow kitchen with a white stove top oven.,24889,320703
1131,coco-30k,A woman posing and riding on a red motorcycle,79760,555686
1132,coco-30k,A small bathroom with a white toilet next to a shower curtain covered bath tub.,34786,357567
1133,coco-30k,a building with two towers and an air plane in the background,71117,253223
1134,coco-30k,A beautiful woman with a blue fro brushing her teeth with a giant toothbrush.,1066,579468
1135,coco-30k,A cook sanding between two women inside of a kitchen.,43127,255248
1136,coco-30k,A bathroom photo focusing on the toilet and the window.,43973,456328
1137,coco-30k,A white train car lays on its side in the dark while a man with a light is nearby.,17801,390241
1138,coco-30k,A tiled bathroom altered to suit the needs of the handicapped.,73399,564699
1139,coco-30k,Three urinals mounted to a wall with white little dividers.,64292,577796
1140,coco-30k,A herd of sheep standing between a train and a river.,48686,143653
1141,coco-30k,A kitchen with lots of black counter top space.,66828,493235
1142,coco-30k,An older woman holding a metal tea kettle in a kitchen.,3197,526186
1143,coco-30k,A fire burns while a person rides a green motorcycle and several motorcycles are flipping in the air.,44338,115162
1144,coco-30k,Several people snowboarding and one skiing in the snow.,15679,4554
1145,coco-30k,Various stuffed animals behind a pane of glass,29643,128373
1146,coco-30k,A man in a gray jacket standing in a kitchen next to a black dog.,70709,245462
1147,coco-30k,A desk topped with a desktop computer monitor behind a keyboard.,16865,290532
1148,coco-30k,A knife being slid into a wooden block.,81868,370842
1149,coco-30k,A woman cutting up a large chocolate sheet cake.,94127,303520
1150,coco-30k,A person standing in a living room with a fire place.,92889,58364
1151,coco-30k,A bathroom with focus on a counter with dual sinks.,63153,560948
1152,coco-30k,A bathroom with focus on the toilet in the bathtub.,1393,377845
1153,coco-30k,A street intersection at night with no vehicles on the road.,17878,556278
1154,coco-30k,A group of bikers traveling down a road past a store.,3385,42970
1155,coco-30k,a man sitting on the end of  a bed in front of a small TV.,76339,30707
1156,coco-30k,A plane is taking off from a runway.,65576,473935
1157,coco-30k,A trashcan has been knocked over in a kitchen.,62954,493843
1158,coco-30k,two gray stove burners and a wooden bowl with four apples,59896,150685
1159,coco-30k,A man in a black outfit sleeping on a small bench.,41035,77296
1160,coco-30k,Three different types of dogs looking at the camera.,87525,176474
1161,coco-30k,Photo taken in a car of the television on the roof.,89171,191842
1162,coco-30k,A person on a motorcycle doing a burnout.,70504,143908
1163,coco-30k,A large kitchen with many people preparing food.,82655,447546
1164,coco-30k,A kitchen filled with wooden cabinets and a white refrigerator.,57880,306108
1165,coco-30k,A downtown area of a city with buildings and billboards. ,3160,270376
1166,coco-30k,A parked car with a cat laying on top of it.,40008,341659
1167,coco-30k,A plane parked in a large airplane hanger.,13662,1525
1168,coco-30k,A park bench surrounded by floral arrangements on either side.,26092,221502
1169,coco-30k,A set of three wall mounted urinals with pictures of men on top of them.,19833,135117
1170,coco-30k,A restroom with three stalls with three toilets.,1754,291833
1171,coco-30k,A narrow kitchen filled with appliances and cooking utensils.,38754,403013
1172,coco-30k,A blue love seat sitting on a trailer attached to a bike.,17134,25972
1173,coco-30k,A man sitting on the snow while riding a snowboard.,77283,455528
1174,coco-30k,three different motorcycle couples riding down a road,64071,503790
1175,coco-30k,a man in a blue shirt riding a blue motorcycle and some people,98232,185904
1176,coco-30k,a man wearing leathers and his black motorcycle,27369,291930
1177,coco-30k,a male with glasses and a green helmet is eating a banana,59462,98280
1178,coco-30k,a ratchet ass room with a shelf on the wall,84272,332908
1179,coco-30k,A man blowing out candles on a cake.,28218,211825
1180,coco-30k,A person is in a bathroom and is taking a photo of himself in a mirrors reflection.,78192,444270
1181,coco-30k,A bike rider rests on his bike as he looks at his phone.,8648,531069
1182,coco-30k,A bathroom toilet with a light fixture overhead,58392,529069
1183,coco-30k,Black and white historical photo man next to motorized bicycle.,12081,429633
1184,coco-30k,A group of young people are sitting on a concrete divider.,56609,152543
1185,coco-30k,A city with a river in the middle with boats docked,50901,438024
1186,coco-30k,A bathroom being renovated with pipes in the wall,47220,382734
1187,coco-30k,"BLUE MOTORCYCLE ON DISPLAY, SURROUNDED BY OTHER VEHICLES",65811,456394
1188,coco-30k,A bathroom toilet nestled in a cubby is turned into a room for darts.,18621,79465
1189,coco-30k,a public bathroom with a clock tower in the background,50952,59463
1190,coco-30k,A motorcycle carrying a bicycle is parked in the gravel. ,55512,154587
1191,coco-30k,A bathroom with white colored cabinets and toilet,74117,212074
1192,coco-30k,A modern flatscreen television sits upon a nostalgic console model.,9103,82229
1193,coco-30k,a bathroom with a cat underneath a bath tub,10074,533026
1194,coco-30k,A man rides a large motorcycle on a freeway.,36112,553776
1195,coco-30k,A military motorcycle is parked behind a van on a street way.,85256,251098
1196,coco-30k,A plane is boarded with maintenance trucks alongside cargo trailers.,51422,347253
1197,coco-30k,a close up of a toilet with a pink seat and lid,9940,332455
1198,coco-30k,"Bathroom view, brightly lit, blue square basin, commode on right, shower curtain on left and heater and window on far end.",49583,429323
1199,coco-30k,a close up of a person brushing her teeth in the bathroom,54054,465179
1200,coco-30k,A colorful jet is sitting patiently on a runway.,4698,423767
1201,coco-30k,the door to the room is open to the outside,5551,261062
1202,coco-30k,A giraffe standing in a lot filled with cars.,22903,540694
1203,coco-30k,Several small electronic devices are sitting with a backpack at an airport window.,39766,378448
1204,coco-30k,a close up of a woman wearing jewelry and a boat in the background,64798,305545
1205,coco-30k,An open door that leads into a kitchen ,84976,183249
1206,coco-30k,Three people standing in a parking lot smiling to take a picture.,20764,117037
1207,coco-30k,A picture of a lot of motorcycles together.,81203,321742
1208,coco-30k,A picture of two people sitting on a bench.,57516,151988
1209,coco-30k,A close-up of a one-way street with many cars and motorcycles.,47519,315601
1210,coco-30k,A man standing in front of a fruit stand containing several bunches of bananas.,23705,571718
1211,coco-30k,"A photo of a dining venue outside complete with tables, chairs and umbrellas.",65218,29709
1212,coco-30k,Two people that are walking a dog together.,50990,75283
1213,coco-30k,A well lit area of the bathroom with white paintings. ,23320,171717
1214,coco-30k,A picture of a plane is flying in the air.,6923,126876
1215,coco-30k,A street scene with people on motorcycles and people sitting on benches.,85391,415672
1216,coco-30k,A red car next to a gas station sign and parked blue and silver motorcycles.,57451,527220
1217,coco-30k,A close up of a woven basket on a bicycle.,30085,334140
1218,coco-30k,A bedroom with a bike parked in it,30090,456323
1219,coco-30k,A black dog standing between people in line,29249,554002
1220,coco-30k,A bathroom scene with focus on the toilet and the sink,97638,460812
1221,coco-30k,A picture of a plane that is in the air.,78800,27390
1222,coco-30k,The view of a room with several different utensils displayed on shelves.,57149,433504
1223,coco-30k,A cop car sitting on the side of a road behind a motorcycle.,43556,239355
1224,coco-30k,Cooks standing in a kitchen preparing food for a restaurant.,72039,293964
1225,coco-30k,A fighter jet taking off from an airport runway.,67985,424445
1226,coco-30k,A close-up of a toilet with a pink stuffed bunny inside.,49439,193599
1227,coco-30k,A boat dock with two planes floating on the water.,62302,84474
1228,coco-30k,A street scene of a road going through the mountains.,87849,580829
1229,coco-30k,People on a boat looking at a plane in the water.,91139,25685
1230,coco-30k,A dog in an enclosure with a  herd of sheep,76345,141086
1231,coco-30k,A street scene of the intersection with people and cars.,2777,414379
1232,coco-30k,A TV sitting on top of a table next to a laptop computer.,7642,373574
1233,coco-30k,Thee family is standing around the island in the kitchen.,76053,369259
